food_name,calories,carbs,protein,fat
국밥_돼지머리,137,15.94,6.7,5.16
국밥_순대국밥,75,10.38,3.17,2.28
국밥_콩나물,52,10.93,1.45,0.24
기장밥,166,36.77,3.44,0.57
김밥,140,19.98,4.84,4.55
김밥_김치,130,19.17,4.3,4.03
김밥_날치알,177,28.66,6.1,4.26
김밥_돈가스,202,31.64,5.77,5.81
김밥_소고기,179,25.78,6.46,5.56
김밥_참치,174,20.26,7.0,7.22
김밥_채소,158,26.65,4.6,3.65
김밥_치즈,177,22.1,6.24,7.03
김밥_풋고추,169,27.52,4.88,4.41
덮밥_낙지,150,24.12,5.88,3.34
덮밥_닭고기,125,14.82,11.4,2.18
덮밥_돼지고기(제육),202,16.86,9.43,10.77
덮밥_불고기,182,26.96,6.6,5.31
덮밥_오징어,135,21.94,7.18,2.01
보리밥,161,36.77,2.9,0.24
볶음밥,183,33.97,5.56,2.76
볶음밥_계란,225,24.23,6.62,11.28
볶음밥_김치,167,15.74,5.32,9.18
볶음밥_새우,172,22.85,6.31,6.14
볶음밥_소고기,176,21.76,7.59,6.48
볶음밥_참치,180,32.9,4.62,3.27
볶음밥_채소,182,28.74,4.72,5.39
볶음밥_표고버섯,184,31.79,3.36,4.81
비빔밥,142,18.84,6.86,4.32
비빔밥_돌솥,147,24.68,5.39,2.95
비빔밥_육회,147,22.92,6.39,3.36
삼각김밥_참치마요네즈,199,25.45,5.93,8.21
수수밥,161,35.02,3.16,0.92
알밥,128,15.75,4.73,5.11
영양돌솥밥,184,36.06,3.43,2.87
오므라이스,173,20.54,6.5,7.23
자장밥,122,15.57,4.27,4.72
잡곡밥,146,29.33,5.3,0.87
잡채밥,150,25.79,4.02,3.42
주먹밥_소고기,178,34.73,4.76,2.18
짬뽕밥,72,11.65,3.2,1.4
차조밥,157,34.86,2.84,0.65
찰밥,153,33.56,4.39,0.18
초밥_모듬,160,26.72,9.66,1.59
초밥_유부초밥,194,29.82,5.78,5.77
카레라이스,108,20.74,3.11,1.4
콩나물밥,123,22.39,4.68,1.58
콩밥_검정콩,165,34.3,4.53,1.12
콩밥_완두콩,138,31.25,2.95,0.16
하이라이스,112,21.34,4.02,1.13
현미밥,172,38.9,3.1,0.47
회덮밥_모듬,145,17.76,9.1,4.15
가래떡,195,43.73,3.92,0.51
경단_깨,240,38.58,6.28,6.72
꿀떡,228,49.48,3.74,1.73
모듬찰떡,218,42.27,6.78,2.44
백설기,230,50.4,3.71,1.45
송편_깨,219,42.83,4.65,3.23
시루떡,224,48.13,3.77,1.85
약식,220,45.24,4.21,2.45
인절미,242,50.07,5.64,2.16
절편_쑥,192,34.87,7.72,2.42
증편,200,44.15,3.17,1.2
찹쌀떡_팥,295,62.93,5.06,2.53
도넛_링도넛,515,46.16,7.85,33.17
도넛_찹쌀,288,55.56,6.0,4.64
마늘빵,438,57.94,12.06,17.58
머핀,384,59.15,5.73,13.84
모닝빵,314,52.17,9.5,7.43
모카빵,339,57.96,8.55,8.05
베이글,306,53.48,10.0,5.83
샌드위치_닭가슴살,240,20.96,12.18,11.92
샌드위치_모듬,193,8.44,9.5,13.44
샌드위치_참치,202,13.78,10.54,11.65
샌드위치_채소,244,23.82,4.08,14.75
샌드위치_햄_달걀,220,15.64,12.44,11.92
소보로빵,392,55.63,8.27,15.13
식빵,264,50.91,9.34,2.6
초코소라빵,319,51.76,3.29,10.93
츄러스,361,58.17,6.6,11.29
카스텔라,335,47.99,10.03,11.47
케이크_롤케이크,312,44.01,7.36,11.83
케이크_생크림케이크,237,27.62,3.45,12.54
크로와상,446,43.31,7.52,26.98
파이/만주_사과파이,185,34.83,2.54,3.91
페이스트리,466,41.5,8.31,29.66
피자_콤비네이션피자,274,25.54,10.68,14.36
피자빵,298,31.76,8.85,15.05
햄버거,264,21.67,12.85,13.98
햄버거_불고기버거,250,22.68,13.88,11.52
호떡_견과류,314,57.12,5.41,7.07
간자장,125,15.13,5.12,4.89
국수_막국수,133,23.9,5.8,1.61
국수_비빔국수,102,20.47,3.01,0.95
국수_잔치국수,44,8.05,1.93,0.49
국수_쟁반막국수,119,12.81,6.68,4.56
냉면_물냉면,55,10.31,1.96,0.64
냉면_비빔냉면,100,13.35,5.67,2.64
냉면_회냉면_홍어,148,22.21,5.81,4.02
떡국,84,16.37,3.43,0.53
떡만두국,111,15.47,3.53,3.91
라면,82,13.65,1.72,2.28
라면_달걀,108,17.33,2.61,3.18
라면_떡,96,15.27,2.04,2.92
만두_고기만두,159,17.4,12.38,4.45
만두_군만두,234,25.57,7.03,11.5
만두_김치만두,152,17.02,10.24,4.76
만두_물만두,195,15.61,8.06,11.13
만두국_사골,87,8.94,3.74,4.0
메밀국수_온면,63,12.06,3.14,0.29
수제비,58,11.08,2.31,0.52
스파게티_미트볼,180,17.62,7.34,8.88
우동_일식,158,30.48,1.78,3.22
우동볶음,128,24.79,2.8,2.01
월남쌈,118,12.25,5.94,4.97
자장면,88,14.37,2.69,2.22
짬뽕,58,8.26,2.79,1.54
쫄면,129,23.26,3.21,2.52
칼국수,77,14.9,3.3,0.49
칼국수_바지락,82,15.97,3.43,0.53
콩국수,81,8.92,3.9,3.35
닭죽,44,7.14,2.68,0.57
스프_양송이버섯,105,8.06,2.41,7.04
오리죽,155,19.95,7.5,4.99
전복죽,79,9.62,1.82,3.73
채소죽,43,7.62,1.69,0.69
팥죽,81,16.66,3.17,0.19
호박죽,49,6.58,1.93,1.71
흑임자 죽,61,3.64,1.1,4.73
갈비탕,54,0.4,8.51,2.06
감자국,21,3.67,0.9,0.26
곰탕,24,0.11,3.43,1.12
곰탕_우거지,25,2.6,2.37,0.6
굴국_무,25,2.93,2.41,0.36
김치국,23,2.63,1.34,0.76
김치국_콩나물,12,1.15,0.82,0.47
내장탕,71,1.68,5.82,4.52
냉국_미역,37,7.51,0.19,0.67
냉국_미역_오이,6,0.85,0.37,0.15
달걀국,13,0.69,0.93,0.74
달걀탕_순두부,29,0.94,1.78,2.04
닭곰탕,51,2.0,7.51,1.42
도가니탕,40,0.82,8.35,0.33
된장국_감자,25,3.7,1.09,0.6
된장국_냉이,22,2.2,1.71,0.66
된장국_미역,24,2.28,1.56,0.97
된장국_배추,20,2.58,1.46,0.4
된장국_시금치,9,0.98,1.02,0.17
된장국_시래기,15,2.03,1.31,0.22
된장국_쑥,15,1.52,1.22,0.47
된장국_아욱,20,1.59,2.28,0.56
된장국_얼갈이배추,9,0.85,0.5,0.41
된장국_우거지,20,0.82,2.77,0.59
된장국_콩나물,31,2.62,2.58,1.11
된장국_해물,28,2.68,2.1,0.98
된장국_호박,31,1.41,3.34,1.31
된장국_호박잎,7,0.54,0.4,0.32
무국_소고기,15,1.1,1.33,0.64
무국_홍합,25,0.86,0.79,2.03
묵국_메밀묵,22,3.57,1.0,0.4
미역국,12,0.87,0.65,0.61
미역국_대합,11,0.56,1.23,0.45
미역국_새우,16,1.83,1.09,0.46
미역국_소고기,13,0.82,1.86,0.26
배추국_소고기,16,1.14,1.84,0.41
북어국,28,0.84,3.89,0.98
